,vid_id,ad_view
0,VID_1054,3714
1,VID_18629,3898
2,VID_13967,0
3,VID_19442,0
4,VID_770,4601
5,VID_10315,0
6,VID_7417,406
7,VID_17788,2854
8,VID_14591,0
9,VID_1228,4402
10,VID_10153,817
11,VID_5667,3040
12,VID_22775,5079
13,VID_8353,0
14,VID_486,0
15,VID_17460,310
16,VID_5867,3148
17,VID_15951,1857
18,VID_14890,2613
19,VID_7219,4227
20,VID_20045,1962
21,VID_11874,2894
22,VID_1208,5543
23,VID_4529,3668
24,VID_6793,2298
25,VID_18254,2533
26,VID_11155,504
27,VID_12257,8563
28,VID_4207,3621
29,VID_23276,0
30,VID_18261,3172
31,VID_11536,1643
32,VID_6429,352
33,VID_9277,0
34,VID_517,0
35,VID_11291,488
36,VID_11265,4415
37,VID_632,0
38,VID_13587,5686
39,VID_16439,5614
40,VID_14888,2529
41,VID_3207,1740
42,VID_9352,0
43,VID_3286,0
44,VID_19592,4018
45,VID_15582,589
46,VID_15269,3547
47,VID_5703,0
48,VID_22315,10232
49,VID_14939,0
50,VID_18277,1673
51,VID_1684,4046
52,VID_14842,1945
53,VID_635,3985
54,VID_19621,4277
55,VID_2006,286
56,VID_2427,599
57,VID_3232,0
58,VID_17944,0
59,VID_19507,415
60,VID_6745,0
61,VID_8446,3361
62,VID_17593,881
63,VID_21611,4264
64,VID_16242,3209
65,VID_23409,0
66,VID_22950,5850
67,VID_15401,4967
68,VID_7634,1453
69,VID_4283,1645
70,VID_20020,1010
71,VID_13334,3380
72,VID_17504,4097
73,VID_22854,4828
74,VID_4396,1641
75,VID_7426,0
76,VID_1941,6846
77,VID_22447,4684
78,VID_13156,0
79,VID_6361,0
80,VID_1601,6117
81,VID_5787,2814
82,VID_15044,2948
83,VID_18511,1990
84,VID_17965,1453
85,VID_20023,4187
86,VID_20294,5023
87,VID_4284,2304
88,VID_6333,0
89,VID_4459,1085
90,VID_7896,0
91,VID_14003,697
92,VID_22518,4771
93,VID_12272,4319
94,VID_1002,3388
95,VID_2801,0
96,VID_85,3443
97,VID_17535,904
98,VID_16710,5051
99,VID_7899,0
100,VID_3336,0
101,VID_966,2633
102,VID_15920,4349
103,VID_9048,2356
104,VID_10819,2685
105,VID_9004,4421
106,VID_8038,1570
107,VID_22273,3741
108,VID_9597,4044
109,VID_405,0
110,VID_6857,0
111,VID_745,4985
112,VID_22181,4426
113,VID_2452,2971
114,VID_16534,6248
115,VID_8504,2045
116,VID_6211,0
117,VID_7421,0
118,VID_19004,2225
119,VID_21560,5781
120,VID_6904,2389
121,VID_10068,4171
122,VID_3831,6067
123,VID_523,320
124,VID_21181,6748
125,VID_9556,4378
126,VID_1140,4873
127,VID_18078,0
128,VID_13326,3915
129,VID_21883,7867
130,VID_18044,1545
131,VID_11715,0
132,VID_7741,0
133,VID_23167,1320
134,VID_4147,4015
135,VID_12377,1805
136,VID_16014,1796
137,VID_21928,0
138,VID_22002,2409
139,VID_19194,1959
140,VID_17892,0
141,VID_19234,2123
142,VID_1790,1973
143,VID_7878,0
144,VID_6945,0
145,VID_17600,1131
146,VID_7502,908
147,VID_11761,390
148,VID_578,0
149,VID_2068,0
150,VID_10591,1984
151,VID_1300,2922
152,VID_2950,0
153,VID_12930,0
154,VID_22247,3085
155,VID_4330,1200
156,VID_14398,0
157,VID_8506,3534
158,VID_12462,0
159,VID_21697,6639
160,VID_14574,754
161,VID_14171,6540
162,VID_22620,3283
163,VID_5642,0
164,VID_12689,0
165,VID_3676,3586
166,VID_23515,0
167,VID_11336,2590
168,VID_8360,3861
169,VID_14293,4843
170,VID_7088,2280
171,VID_11588,3275
172,VID_12193,3498
173,VID_18944,0
174,VID_14220,0
175,VID_2589,0
176,VID_17644,1841
177,VID_20263,0
178,VID_15204,6376
179,VID_6855,871
180,VID_19306,1023
181,VID_20132,4201
182,VID_18477,1871
183,VID_4562,1641
184,VID_17001,4616
185,VID_6858,112
186,VID_20250,2968
187,VID_22484,6045
188,VID_2358,1021
189,VID_17132,8963
190,VID_19635,6763
191,VID_20188,3381
192,VID_1272,2681
193,VID_2390,1081
194,VID_10914,3500
195,VID_9647,0
196,VID_11219,3817
197,VID_13260,1234
198,VID_21600,3018
199,VID_12441,6080
200,VID_15261,2445
201,VID_11540,2366
202,VID_20101,2810
203,VID_3909,0
204,VID_14409,0
205,VID_10430,1854
206,VID_8148,0
207,VID_9579,3325
208,VID_12302,1926
209,VID_7161,3163
210,VID_17471,4519
211,VID_13296,1915
212,VID_1935,5557
213,VID_23277,591
